CodOp,NomePrograma,EixoPrioritario,TxCofinanciamentoFinal,ObjetivoTematico,PrioridadeInvestimento,DesignacaoOperacao,SiglaFundoOperacao,BeneficiarioOperacao,DataPrevIn,DataPrevFim,CustoTotalElegivelAprovado,ApoioTotalAprovado,Pais,DesignacaoNUTSII_Dominante,DesignacaoNUTSIII_Dominante,ConcelhoDominante,FreguesiaDominante,CodigoDomínioIntervencaoDominante,ResumoDaOperacao
POCH-03-5470-FSE-000228,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,75440.0,64124.0,PT,Alentejo,,,,VII01117,"O CQEP do Centro de Emprego e Formação Profissional do Alentejo Litoral integra a estrutura dos CQEP do IEFP, I.P., cujo modelo de intervenção assenta numa relação direta com os públicos que procuram a qualificação, nomeadamente no ajustamento da oferta com a procura de formação, valorizando o espaço, as condições de atendimento e as atividades de receção, de diagnóstico e de encaminhamento. 
"
POCH-03-5470-FSE-000232,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,75440.0,64124.0,PT,Centro,,,,VII01117,"O CQEP integra a estrutura do CEFP Castelo Branco, cujo modelo de intervenção assenta numa relação direta com os públicos que procuram a melhoria das qualificações e do emprego, através do desenvolvimento de processos de RVCC profissional  e/ ou dupla certificação, e de ações de formação profissional, da inserção de jovens e de adultos na vida ativa, bem como no apoio ao emprego e às medidas dirigidas às pessoas com deficiências e incapacidades."
POCH-03-5470-FSE-000233,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,73893.78,62809.72,PT,Alentejo,,,,VII01117,"Dando sequência ao estabelecido no Decreto-Lei n.º 143/2012, de 11 de julho, o CQEPdo Centro de Emprego e formação Profissional de Évora promove a informação, a orientação, a qualificação e a reabilitação profissional, com vista à colocação dos trabalhadores no mercado de trabalho e à sua progressão profissional . O CQEP funciona numa lógica de rede, complementando respostas, partilhando boas práticas e harmonizando procedimentos.
"
POCH-03-5470-FSE-000235,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,98633.27,83838.28,PT,Centro,,,,VII01117,"Melhorar as qualificações da população da área de abrangência do Centro , através  de respostas de qualificação ajustadas às necessidades individuais e do mercado de trabalho; Otimizar recursos, meios humanos, materiais promovendo processos de orientação de jovens e adultos e o desenvolvimento de processos de RVCC profissionais ou de dupla certificação; Promover e capitalizar a experiência profissional; Aumentar a empregabilidade."
POCH-03-5470-FSE-000238,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,75440.0,64124.0,PT,Alentejo,,,,VII01117,"O CQEP do CEFP de Beja tem como área de abrangência 14 concelhos (NUT III Baixo Alentejo e Alentejo Litoral) e uma oferta de 21 áreas técnicas de intervenção; dispõe de horários de funcionamento alargados e postos de atendimentos fixos nos 14 concelhos, efetuando itinerâncias pelas 75 freguesias, proporcionando acessibilidade ao público, promovendo a não discriminação e acessibilidade (igualdade de oportunidades) e promoção da igualdade de géner"
POCH-03-5470-FSE-000243,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,70801.34,60181.14,PT,Alentejo,,,,VII01117,"O CQEP integra a estrutura do Centros de Emprego e Formação Profissional de Portalegre, tendo em vista, a disponibilização de respostas de qualificação mais articuladas e consentâneas com as necessidades individuais e do mercado de trabalho, a otimização de recursos e meios humanos e materiais, promovendo processos de orientação de jovens e de adultos e o desenvolvimento de processos de RVCC profissionais ou de dupla certificação."
POCH-03-5470-FSE-000244,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,99715.63,84758.29,PT,Norte,,,,VII01117,"A atuação do CQEP promovido pelo Centro de Emprego e Formação Profissional de Viana do Castelo tem por objetivo assegurar a todos o cidadãos, maiores de 15 anos, uma oportunidade de qualificação e respetiva certificação profissional/escolar adequada ao perfil e necessidades identificadas, no âmbito da área territorial em que se insere a sua intervenção."
POCH-03-5470-FSE-000245,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros para a Qualificação e Ensino Profissional (CQEP),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2015,31-12-2016,45036.71,38281.2,PT,Norte,,,,VII01117,"A atuação do CQEP promovido pelo Centro de Emprego e Formação Profissional de Bragança tem por objetivo assegurar a todos os cidadãos com idade maior ou igual a 15 anos, uma oportunidade de qualificação e a respetiva certificação, de nível básico e secundário, adequada ao perfil e necessidades identificados, no âmbito da área territorial onde exerce a sua intervenção."
POCH-03-5470-FSE-000297,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,332268.36,282428.11,PT,Centro,,,,VII01117,"A atividade do CQ promovido pelo CEFP Médio Tejo da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da EFA, definida no quadro do Programa Qualifica e assente na complementaridade do RVCC e a obrigatoriedade de frequência de formação certificada.  Tem como principais atribuições o desenvolvimento de processos de orientação e de processos de RVCC com vista à obtenção de uma qualificação escolar, prof. e dupla certificação. "
POCH-03-5470-FSE-000299,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,160778.41,136661.65,PT,Norte,,,,VII01117,"O Centro Qualifica promovido pelo CEFP de Bragança da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica. Assenta na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada. Tem como principais atribuições o desenvolvimento de processos de orientação e de RVCC.
"
POCH-03-5470-FSE-000300,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",09-01-2017,30-09-2018,251332.11,213632.29,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo Centro Emprego e Formação Profissional de Águeda, enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada."
POCH-03-5470-FSE-000302,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",05-01-2017,30-09-2018,251332.11,213632.29,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP (indicar o nome Centro) da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada. "
POCH-03-5470-FSE-000303,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",19-01-2017,30-09-2018,209443.42,178026.91,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP da Guarda da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada."
POCH-03-5470-FSE-000305,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,209443.42,178026.91,PT,Norte,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP do Alto Tâmega da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada."
POCH-03-5470-FSE-000306,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,313914.49,266827.32,PT,Centro,,,,VII01117,"A atividade do CQ promovido pelo CEFP de Coimbra enquadra-se na estratégia nacional de ed. e form. de adultos, conforme o Programa Qualifica, assente no rec., val. e cer. de competências (RVCC), para o desenvolvimento de processos de processos de RVCC com vista à obtenção de uma qualificação escolar (de nível básico ou secundário), aumentar o nível de qualificação profissional e escolar, aempregabilidade da população e Incentivar a aprendizagem"
POCH-03-5470-FSE-000307,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",18-01-2017,30-09-2018,251332.11,213632.29,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP (indicar o nome Centro) da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada.  "
POCH-03-5470-FSE-000308,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,283762.06,241197.75,PT,Norte,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Entre Douro e Vouga da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, def. no quadro do Progr. Qualifica e assente na complementaridade entre reconhec., valid. e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada; melhorar os níveis de empregabilidade da popul.ativa  e incentivar a aprendizage"
POCH-03-5470-FSE-000309,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,240956.63,204813.14,PT,Norte,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Braga da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada. "
POCH-03-5470-FSE-000310,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",04-01-2017,30-09-2018,251332.11,213632.29,PT,Centro,,,,VII01117,"Principais atribuições: desenvolvimento de processos de orientação e de processos de RVCC com vista à obtenção de uma qualificação escolar (de nível básico ou secundário), profissional ou de dupla certificação com o objetivo : 
	Aumentar o nível de qualificação profissional e escolar dos adultos;
	Melhorar os níveis de empregabilidade da população ativa;
	Incentivar a aprendizagem ao longo da vida, valorizando os adquiridos"
POCH-03-5470-FSE-000311,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",10-01-2017,30-09-2018,209443.42,178026.91,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP (indicar o nome Centro) da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada. "
POCH-03-5470-FSE-000313,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,331091.76,281428.0,PT,Norte,,,,VII01117,"A atividade do C. Qualifica promovido pelo CEFP Porto da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, tendo como principais atribuições o desenvolvimento de processos de orientação e de processos de RVCC com vista à obtenção de uma qualificação escolar (de nível básico ou secundário), profissional ou de dupla certificação."
POCH-03-5470-FSE-000316,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,251332.11,213632.29,PT,Alentejo,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Santarém da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada, elevando o nível de qualificação e de empregabilidade dos adultos."
POCH-03-5470-FSE-000317,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-02-2017,30-09-2018,325810.8,276939.18,PT,Norte,,,,VII01117,"A atuação do Centro Qualifica promovida pelo Centro de Emprego e Formação Profissional de Viana do Castelo tem por objectivo assegurar a todos os cidadãos, maiores de 15 anos, uma oprtunidade de qualificação e a respectiva certificação profissional e/ou escolar de nível básico e secundário adequada ao perfil e necessidades identificados no âmbito da área territorial em que se insere a sua intervenção."
POCH-03-5470-FSE-000319,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,318752.94,270940.0,PT,Alentejo,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP (indicar o nome Centro) da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada.  Tem como principais atribuições o desenvolvimento de processos "
POCH-03-5470-FSE-000325,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,209443.42,178026.91,PT,Norte,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Vila real da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre RVCC e a obrigatoriedade de frequência de formação certificada. Com vista à obtenção de uma qualificação escolar (de nível básico ou secundário), profissional ou de dupla certificação."
POCH-03-5470-FSE-000327,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",04-01-2017,30-09-2018,251332.11,213632.29,PT,Centro,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP (indicar o nome Centro) da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada."
POCH-03-5470-FSE-000333,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",05-01-2017,30-09-2018,293220.79,249237.67,PT,Alentejo,,,,VII01117,"A atividade do CQ do CEFP Beja enquadra-se na estratégia nacional de revitalização da EFA - Programa Qualifica (complementaridade RVCC/formação certificada).  Principais atribuições: desenvolvimento processos de orientação e RVCC para obtenção de qualificação escolar, profissional ou dupla certificação com objetivos: aumentar nível de qualificação dos adultos; melhorar níveis de empregabilidade da PA e incentivar aprendizagem ao longo da vida."
